time(millisecond),datetime,track_id,X,Y,Z,disparity
0,2025-07-27 19:03:08.132,1,0.5356356805252709,1.1626264062246068,4.803102717029762,377.25
100,2025-07-27 19:03:08.232,1,0.5331771366147113,1.1635959331169912,4.800506689417865,377.4540100097656
200,2025-07-27 19:03:08.332,1,0.5345871366946777,1.1648632526736993,4.812289167319755,376.52984619140625
300,2025-07-27 19:03:08.432,1,0.534889877143162,1.156896865679543,4.779455452312859,379.11651611328125
400,2025-07-27 19:03:08.532,1,0.5356560671280606,1.162139454579685,4.801105643059471,377.40692138671875
500,2025-07-27 19:03:08.632,1,0.5350729218520816,1.157340521093443,4.781271296933468,378.9725341796875
600,2025-07-27 19:03:08.732,1,0.5325622378478095,1.1600284278785018,4.792372946399192,378.0946350097656
700,2025-07-27 19:03:08.832,1,0.5365711986423647,1.1603566492614044,4.7937271716505885,377.9878234863281
800,2025-07-27 19:03:08.932,1,0.5357526326411246,1.1576763642901324,4.7826535409190045,378.8630065917969
900,2025-07-27 19:03:09.032,1,0.5338490610224929,1.1572370284318099,4.780838186250227,379.0068664550781
1000,2025-07-27 19:03:09.132,1,0.5337027577828419,1.1667715572404584,4.820227730739708,375.90972900390625
1100,2025-07-27 19:03:09.232,1,0.5378238088682101,1.1640970504287622,4.809178318904057,376.7734069824219
1200,2025-07-27 19:03:09.332,1,0.5410712743954075,1.1648791333969721,4.812409300764988,376.52044677734375
1300,2025-07-27 19:03:09.432,1,0.5377087528534416,1.153943726764159,4.767232379762093,380.08856201171875
1400,2025-07-27 19:03:09.532,1,0.5346222994220423,1.16610383627671,4.851346855739407,373.4984436035156
1500,2025-07-27 19:03:09.632,1,0.5374405639399219,1.1556415709785666,4.8065251377675935,376.98138427734375
1600,2025-07-27 19:03:09.732,1,0.5495015693071378,1.1411800871747764,4.85317173250736,373.3580017089844
1700,2025-07-27 19:03:09.832,1,0.5518636429444422,1.1117807696513367,4.844511227663337,374.02545166015625
1800,2025-07-27 19:03:09.932,1,0.5618506452999236,1.068207644436933,4.832963991823341,374.9190979003906
1900,2025-07-27 19:03:10.032,1,0.5698191870343877,1.044684222818008,4.835471595761706,374.72467041015625
2000,2025-07-27 19:03:10.132,1,0.57282804040399,1.006453119522771,4.848152860731885,373.7445068359375
2100,2025-07-27 19:03:10.232,1,0.5737054812177377,0.9689687358816538,4.815866876080009,376.2501220703125
2200,2025-07-27 19:03:10.332,1,0.5770447623454529,0.9284188762034764,4.852198849225939,373.432861328125
2300,2025-07-27 19:03:10.432,1,0.5747948304388552,0.8923538497038297,4.857957741284865,372.99017333984375
2400,2025-07-27 19:03:10.532,1,0.5714220682851776,0.8345451605859765,4.862373689647688,372.65142822265625
2600,2025-07-27 19:03:10.732,1,0.5640050577731048,0.7291874545256565,4.851993455346024,373.44866943359375
2700,2025-07-27 19:03:10.832,1,0.5612709183994867,0.6831087432565603,4.863047528654915,372.59979248046875
2800,2025-07-27 19:03:10.932,1,0.5557372672660525,0.6247258093581006,4.871739717674791,371.93499755859375
3000,2025-07-27 19:03:11.132,1,0.5544583202242318,0.5235543372256724,4.861801949119817,372.69525146484375
3100,2025-07-27 19:03:11.232,1,0.5537260468476192,0.4844512405599483,4.87126528398622,371.9712219238281
3200,2025-07-27 19:03:11.332,1,0.5515153374801998,0.4274245187715208,4.852133819166536,373.4378662109375
3300,2025-07-27 19:03:11.432,1,0.5491191645307907,0.38311062881998675,4.832227673286163,374.9762268066406
3400,2025-07-27 19:03:11.532,1,0.551533124700741,0.32204124799331735,4.8699044479310745,372.0751647949219
3500,2025-07-27 19:03:11.632,1,0.5497098485563185,0.27343931567726193,4.852710030329546,373.3935241699219
3700,2025-07-27 19:03:11.832,1,0.544371446502273,0.17227319148904657,4.866089694096567,372.3668518066406
3800,2025-07-27 19:03:11.932,1,0.5400254391849383,0.1221700884405743,4.899482598707757,369.8289489746094
3900,2025-07-27 19:03:12.032,1,0.5398976381454077,0.0776219852021961,4.900818352270583,369.7281494140625
4000,2025-07-27 19:03:12.132,1,0.544029925324269,0.03652688582326481,4.882130838753213,371.14337158203125
4100,2025-07-27 19:03:12.232,1,0.5464384599972973,0.0254115041477844,4.892965134933561,370.3215637207031
4200,2025-07-27 19:03:12.332,1,0.5487362374483402,0.018934212426762388,4.90005757500416,369.7855529785156
4300,2025-07-27 19:03:12.432,1,0.5517697466425597,0.018626769761573927,4.891850482743665,370.40594482421875
4400,2025-07-27 19:03:12.532,1,0.5538935120929147,0.018911433235424005,4.890491012643848,370.5089111328125
4500,2025-07-27 19:03:12.632,1,0.5551661932162424,0.02066869842149454,4.883988996296115,371.0021667480469
4600,2025-07-27 19:03:12.732,1,0.5508682454601891,0.022597786972255608,4.879469556325427,371.3457946777344
4700,2025-07-27 19:03:12.832,1,0.5478450388479769,0.021958781018946393,4.886345954018524,370.8232116699219
4800,2025-07-27 19:03:12.932,1,0.5441700941857708,0.0206192725261844,4.900834128461702,369.7269592285156
4900,2025-07-27 19:03:13.032,1,0.544235567638708,0.019478221163539852,4.901049746587024,369.710693359375
5000,2025-07-27 19:03:13.132,1,0.5474825264302272,0.019405997338240843,4.891012308700187,370.46942138671875
5100,2025-07-27 19:03:13.232,1,0.5512479413889851,0.017383933118700956,4.893814869206236,370.25726318359375
5200,2025-07-27 19:03:13.332,1,0.5550296479106305,0.013066030930220705,4.900446225423582,369.7562255859375
5300,2025-07-27 19:03:13.432,1,0.554209647713841,0.0112481191653448,4.890729892637477,370.4908142089844
